canonical_key,display_name,name_variants,sources,mentions,crm_link,crm_account_ids,crm_candidate_ids,domain_group,match_tiers
aldergatetelecom,Aldergate Telecom,Aldergate Telecom,intro_requests.target_company_raw,1,linked_single_crm_account,A1027,,,B_probable_name_exact
ambrosetrading,Ambrose Trading,Ambrose Trading,connections.company,248,no_crm_record,,,,E_unmatched
apexlogistics,Apex Logistics,Apex Logistics; Apex Logistics Group,connections.company; intro_requests.target_company_raw; investor_network.portfolio_company,9,linked_to_shared_domain_group_account_id_unresolved,,"A1001:Apex Logistics; A91001:Apex Logistics, Inc.",DG_apexlogistics.com,B_probable_shared_domain_group
ashgroveagriculture,Ashgrove Agriculture,Ashgrove Agriculture,intro_requests.target_company_raw,1,linked_to_shared_domain_group_account_id_unresolved,,A1035:Ashgrove Agriculture; A91035:Ashgrove Agriculture Inc,DG_ashgroveag.com,B_probable_shared_domain_group
bellchambermedia,Bellchamber Media,Bellchamber Media,connections.company,253,no_crm_record,,,,E_unmatched
bexleybioworks,Bexley Bioworks,Bexley Bioworks,connections.company; intro_requests.target_company_raw; investor_network.portfolio_company,9,linked_single_crm_account,A1045,,,B_probable_name_exact
blackwoodindustrial,Blackwood Industrial,Blackwood Industrial,connections.company; intro_requests.target_company_raw; investor_network.portfolio_company; investor_network.prior_employer,11,distinct_from_lookalike_crm_account,,A1010:Blackwood Holdings(62.1),,C_similar_but_distinct
brightmoorenergy,Brightmoor Energy,Brightmoor Energy,connections.company; intro_requests.target_company_raw; investor_network.prior_employer,5,linked_to_shared_domain_group_account_id_unresolved,,A1006:Brightmoor Energy; A91006:Brightmoor Energy Inc,DG_brightmoorenergy.com,B_probable_shared_domain_group
calderonaerospace,Calderon Aerospace,Calderon Aerospace,connections.company; intro_requests.target_company_raw,6,no_crm_record,,,,E_unmatched
cindermillmining,Cindermill Mining,Cindermill Mining,connections.company; intro_requests.target_company_raw; investor_network.portfolio_company; investor_network.prior_employer,11,distinct_from_lookalike_crm_account,,A1025:Cindermill Holdings(74.1),,C_similar_but_distinct
cobaltlane,Cobalt Lane,Cobalt Lane,intro_requests.target_company_raw,2,distinct_from_lookalike_crm_account,,A1038:Cobalt Lane Capital Markets(57.9),,C_similar_but_distinct
cobaltlanecapitalmarkets,Cobalt Lane Capital Markets,Cobalt Lane Capital Markets,connections.company; intro_requests.target_company_raw; investor_network.portfolio_company,4,linked_single_crm_account,A1038,,,B_probable_name_exact
